"Name","Instance Count","Size (bytes)"
"com.google.gson.JsonObject",100,1600
"com.google.gson.internal.LinkedTreeMap",100,5600
"org.springframework.web.context.request.ServletWebRequest",99,3960
"org.springframework.http.server.DefaultPathContainer$DefaultPathSegment",94,2256
"org.springframework.web.context.request.ServletRequestAttributes",94,3760
"com.sun.management.internal.DiagnosticCommandArgumentInfo",93,3720
"java.util.LinkedHashMap$LinkedEntrySet",93,2232
"org.springframework.util.MultiValueMapAdapter",92,1472
"java.util.concurrent.atomic.AtomicLong",91,2184
"java.lang.invoke.MethodHandleImpl$AsVarargsCollector",90,4320
"java.util.concurrent.atomic.AtomicBoolean",89,1424
"org.springframework.expression.common.LiteralExpression",89,1424
"java.lang.invoke.MethodHandleNatives$CallSiteContext",88,2816
"java.util.regex.Pattern$BmpCharProperty",88,2112
"java.io.ObjectStreamClass",87,10440
"org.springframework.core.type.classreading.SimpleAnnotationMetadata",86,4816
"org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source",86,1376
"java.util.HashMap$KeyIterator",84,2688
"org.springframework.cglib.core.Signature",83,1992
"org.springframework.core.annotation.AnnotationTypeMappings$Cache$$Lambda.0x000000080067c3e8",83,1992
"org.springframework.core.convert.TypeDescriptor",83,1992
"org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter$$Lambda.0x000000080067a860",83,1328
"java.util.stream.Collectors$CollectorImpl",82,2624
"org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition",82,9840
"org.springframework.context.annotation.ConfigurationClass",79,3792
"java.util.ResourceBundle$KeyElementReference",78,2496
"java.util.stream.ReduceOps$3",78,2496
"java.util.stream.ReduceOps$3ReducingSink",78,2496
"org.apache.juli.logging.DirectJDKLog",78,1248
"com.jprofiler.agent.util.a.b.aa",77,5544
"org.apache.tomcat.util.buf.ByteChunk",76,3648
"javax.management.ObjectName",75,2400
"com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$Node",74,2368
"com.fasterxml.jackson.databind.util.internal.PrivateMaxEntriesMap$WeightedValue",74,1776
"java.lang.annotation.ElementType[ ]",73,1944
"java.lang.invoke.Invokers",73,1752
"jdk.internal.org.objectweb.asm.ByteVector",72,1728
"jdk.proxy1.$Proxy0",72,1152
"java.security.Permissions",71,1704
"java.util.Hashtable",71,3408
"java.util.Hashtable$Entry[ ]",71,5160
"jdk.proxy1.$Proxy4",71,1136
"org.springframework.web.method.HandlerMethod",71,4544
"java.lang.reflect.Parameter[ ]",70,1800
"sun.reflect.generics.tree.FormalTypeParameter",70,1680
"java.lang.RuntimePermission",69,1656
