java.util.stream.ReduceOps$3.getOpFlags,0.2206
jdk.internal.org.objectweb.asm.FieldWriter.putFieldInfo,0.0956
org.springframework.web.servlet.resource.ResourceUrlProvider.detectResourceHandlers,0.0000
java.lang.invoke.TypeConvertingMethodAdapter.cast,0.0945
java.lang.invoke.MethodHandles$Lookup$ClassDefiner.defineClass,0.0646
sun.nio.ch.ServerSocketChannelImpl.socket,0.0945
java.util.concurrent.ConcurrentHashMap.computeIfAbsent,0.3905
core.ca.concordia.ptidej.spectra.Application$$SpringCGLIB$$0.CGLIB$STATICHOOK1,0.0569
java.util.Stack.push,0.0760
java.util.HashMap.getNode,0.0424
ch.qos.logback.classic.pattern.NamedConverter.<init>,0.0760
com.fasterxml.jackson.datatype.jsr310.JavaTimeModule.setupModule,0.0000
java.util.stream.AbstractPipeline.<init>,0.2852
org.springframework.boot.loader.net.protocol.jar.Handler.extractRelativePath,0.1327
java.net.URL.isValidProtocol,0.1327
org.springframework.core.annotation.MergedAnnotationPredicates$UniquePredicate.<init>,0.0984
java.lang.Long.valueOf,0.0495
java.lang.ProcessEnvironment$StringKeySet.iterator,0.0646
java.util.ArrayList.listIterator,0.1408
org.springframework.boot.loader.jar.NestedJarFile.getNestedJarEntry,0.0760
java.lang.invoke.InnerClassLambdaMetafactory.generateInnerClass,0.0760
java.lang.invoke.MethodHandle.<init>,0.0945
ch.qos.logback.classic.Logger.callTurboFilters,0.1408
ch.qos.logback.classic.util.LogbackMDCAdapter.<init>,0.1654
java.lang.invoke.LambdaFormEditor.bindArgumentType,0.1654
java.nio.Buffer.nextGetIndex,0.1654
java.util.Collections$SingletonList.hashCode,0.0569
jdk.internal.loader.URLClassPath$Loader.getResource,1.0054
java.lang.invoke.StringConcatFactory.parseRecipe,0.1327
io.netty.util.internal.PlatformDependent0$7.run,0.0945
org.springframework.boot.context.logging.LoggingApplicationListener.<clinit>,0.0646
jdk.xml.internal.XMLSecurityManager.<init>,0.0495
java.lang.String.indexOf,0.7168
org.springframework.beans.factory.support.AbstractBeanFactory.getType,0.1408
java.util.concurrent.CopyOnWriteArrayList.iterator,0.0760
java.time.Duration.<clinit>,0.1654
jdk.internal.org.objectweb.asm.ByteVector.put12,0.0646
java.lang.StringBuilder.<init>,0.4620
com.sun.org.apache.xpath.internal.axes.WalkerFactory.newDTMIterator,0.0956
org.springframework.boot.autoconfigure.task.TaskSchedulingConfigurations$ThreadPoolTaskSchedulerBuilderConfiguration.threadPoolTaskSchedulerBuilder,0.0945
java.util.concurrent.CopyOnWriteArrayList.add,0.0569
java.lang.Object.clone,0.4246
org.springframework.boot.context.properties.bind.handler.NoUnboundElementsBindHandler$$Lambda/0x00000008004864b0.<init>,0.0956
java.lang.System$2.blockedOn,0.2168
java.lang.Throwable.<init>,0.2206
com.sun.org.apache.xerces.internal.impl.XMLEntityManager.<init>,0.0956
java.io.UnixFileSystem.canonicalize0,0.1070
java.lang.Object.getClass,0.4598
com.fasterxml.jackson.core.PrettyPrinter.<clinit>,0.0000
java.lang.invoke.MethodHandleImpl.bindCaller,0.0760
java.nio.file.Files.provider,0.1654
org.springframework.beans.SimpleTypeConverter.<init>,0.0646
java.util.HashMap.putMapEntries,0.0646
java.lang.Object.hashCode,0.6202
sun.reflect.generics.visitor.Reifier.visitClassTypeSignature,0.0760
sun.invoke.util.VerifyAccess.isTypeVisible,0.0569
java.lang.String.getBytesNoRepl1,0.1654
sun.nio.ch.Net.localPort,0.0945
java.lang.reflect.Array.newArray,0.1327
java.util.regex.Pattern.group0,0.0000
java.lang.ThreadLocal$ThreadLocalMap.expungeStaleEntry,0.1654
java.lang.invoke.InvokerBytecodeGenerator$ClassData.<init>,0.0646
java.util.Arrays.binarySearch0,0.4992
org.springframework.boot.loader.net.protocol.jar.JarFileUrlKey.get,0.0984
java.lang.Character.getType,0.1654
org.springframework.boot.loader.net.protocol.jar.LazyDelegatingInputStream.read,0.0000
javax.naming.InitialContext.init,0.0646
org.springframework.boot.loader.zip.FileDataBlock$FileAccess.read,0.0646
org.springframework.boot.autoconfigure.BackgroundPreinitializer$MessageConverterInitializer.run,0.0495
jdk.internal.jimage.ImageLocation.verify,0.0984
org.springframework.core.ResolvableType.<init>,0.0000
java.lang.ref.Reference.waitForReferencePendingList,0.0707
java.lang.ThreadLocal.get,0.1327
org.apache.catalina.loader.WebappLoader.<init>,0.0424
java.util.concurrent.locks.ReentrantReadWriteLock.<init>,0.0424
java.net.URI.isAbsolute,0.0646
java.util.concurrent.ConcurrentHashMap$ReservationNode.<init>,0.1132
java.math.BigInteger.destructiveMulAdd,0.0000
java.util.AbstractCollection.toArray,0.2392
org.springframework.boot.loader.jar.NestedJarFile.getVersionedContentEntry,0.1070
sun.nio.ch.KQueue.poll,0.0180
org.springframework.boot.context.config.Profiles.<init>,0.0760
sun.nio.ch.IOUtil.readIntoNativeBuffer,0.0000
org.springframework.boot.web.servlet.context.ServletWebServerApplicationContextFactory.createContext,0.1520
org.springframework.beans.factory.support.AbstractBeanFactory.getBeanPostProcessorCache,0.0956
org.springframework.core.MethodParameter.getParameterType,0.0945
org.springframework.boot.loader.jar.NestedJarFile.getInputStream,0.0760
sun.net.util.URLUtil.urlNoFragString,0.0760
org.springframework.boot.loader.zip.ZipCentralDirectoryFileHeaderRecord.load,0.1654
java.lang.invoke.LambdaForm$DMH/0x0000000800208400.invokeStatic,0.0646
org.springframework.boot.autoconfigure.condition.OnBeanCondition$Spec.<init>,0.0569
org.springframework.core.annotation.TypeMappedAnnotation.adapt,0.0984
org.springframework.boot.loader.zip.ZipString.readInBuffer,0.4962
com.fasterxml.jackson.annotation.JsonCreator$Mode.<clinit>,0.1408
java.util.concurrent.ConcurrentHashMap.transfer,0.3550
java.lang.ClassLoader.findLoadedClass,0.1408
org.springframework.boot.loader.net.protocol.jar.JarUrlConnection.hasEntry,0.0945
org.springframework.beans.factory.support.RootBeanDefinition.markAsPostProcessed,0.0956
jdk.internal.misc.Unsafe.allocateUninitializedArray,0.1408
org.springframework.cglib.core.DefaultGeneratorStrategy.getClassVisitor,0.0569
java.lang.String.toLowerCase,0.3860
java.lang.Class.isArray,0.1552
org.springframework.boot.loader.ref.DefaultCleaner.<clinit>,0.1654
java.nio.HeapByteBuffer.<init>,0.2300
org.springframework.boot.loader.net.protocol.jar.JarUrlClassLoader.getJarFile,0.0000
org.springframework.boot.context.properties.source.SpringIterableConfigurationPropertySource.getMappings,0.0646
sun.nio.ch.UnixFileDispatcherImpl.pread0,15.0583
org.springframework.context.annotation.ClassPathScanningCandidateComponentProvider.scanCandidateComponents,0.5308
java.security.SecureClassLoader.defineClass,0.1327
java.lang.ref.Reference.refersTo0,0.1654
java.lang.ClassLoader.findBootstrapClass,1.8407
