"Name","Instance Count","Size (bytes)"
"jdk.internal.classfile.impl.StackMapGenerator$Type",33,792
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping",32,768
"java.lang.invoke.Invokers",32,768
"java.security.Provider$EngineDescription",32,768
"java.util.ImmutableCollections$ListN",32,768
"java.lang.invoke.VarHandle$AccessMode",31,992
"java.lang.reflect.Type[ ]",31,680
"java.util.concurrent.atomic.AtomicLong",31,744
"com.ibm.toad.cfparse.attributes.DeprecatedAttrInfo",29,928
"com.ibm.toad.cfparse.attributes.InnerClassesAttrInfo",29,1160
"java.lang.WeakPairMap$Pair$Weak",29,1160
"java.lang.WeakPairMap$Pair$Weak$1",29,928
"com.jprofiler.agent.util.a.a.b.h",28,2912
"com.jprofiler.agent.util.a.a.b.h$m[ ]",28,1104
"com.sun.jmx.mbeanserver.WeakIdentityHashMap$IdentityWeakReference",27,864
"javax.management.MBeanNotificationInfo[ ]",27,608
"jdk.internal.classfile.impl.AbstractPoolEntry$Utf8EntryImpl",27,1728
"com.sun.jmx.mbeanserver.MXBeanSupport",26,1040
"java.lang.classfile.Opcode$Kind",26,624
"java.lang.reflect.ClassFileFormatVersion",26,832
"java.util.BitSet",26,624
"javax.management.MBeanConstructorInfo[ ]",26,520
"java.lang.invoke.BoundMethodHandle$Species_LLL",25,1200
"java.lang.ThreadLocal$ThreadLocalMap$Entry",24,768
"java.security.CodeSource",24,960
"java.security.Principal[ ]",24,384
"java.security.ProtectionDomain",24,768
"java.util.TreeMap$KeyIterator",24,768
"java.lang.Thread$FieldHolder",23,1104
"java.lang.reflect.AccessFlag",23,920
"com.jprofiler.agent.JProfilerCarrierThreadLocal",22,528
"com.jprofiler.agent.g$a$1",22,352
"java.lang.String$$StringConcat.0x000000013e140400",22,528
"com.jprofiler.agent.sampler.Sampler$a",21,672
"java.util.HashMap$Values",21,336
"org.apache.bcel.generic.ObjectType",21,504
"org.apache.logging.log4j.core.util.datetime.FixedDateFormat$FixedFormat",21,1176
"sun.reflect.generics.tree.FieldTypeSignature[ ]",21,360
"sun.reflect.generics.tree.FormalTypeParameter[ ]",21,352
"com.ibm.toad.cfparse.ConstantPool$FloatEntry",20,320
"java.security.SecureClassLoader$CodeSourceKey",20,320
"java.util.Vector$Itr",20,640
"javax.management.StandardMBean",20,480
"sun.reflect.generics.factory.CoreReflectionFactory",20,480
"com.jprofiler.agent.probe.g.c",19,3040
"com.jprofiler.agent.probe.g.c$1",19,304
"com.jprofiler.agent.probe.g.d",19,1064
"com.jprofiler.agent.probe.g.d$1",19,304
"com.jprofiler.agent.probe.payload.BasePayloadInfo[ ]",19,304
"com.jprofiler.agent.probe.structures.o$a",19,456
"com.jprofiler.agent.probe.structures.o$b",19,456
"com.jprofiler.agent.probe.structures.o$c",19,456
"com.jprofiler.api.agent.probe.ThreadLocalStack",19,304
"com.jprofiler.api.agent.probe.ThreadLocalStack$1",19,304
"com.sun.jmx.mbeanserver.PerInterface",19,760
"java.io.ObjectStreamField[ ]",19,576
"java.lang.ThreadLocal",19,304
"java.lang.invoke.MethodType[ ]",19,792
"java.security.Permissions",19,456
"java.util.HashMap$ValueIterator",19,608
"java.util.concurrent.atomic.AtomicBoolean",19,304
"javax.management.openmbean.ArrayType",19,912
"com.jprofiler.agent.probe.g.a",18,432
"com.jprofiler.agent.probe.structures.a",18,432
"java.lang.invoke.VarHandle$AccessDescriptor",18,720
"java.util.Hashtable",18,864
"java.util.Hashtable$Entry[ ]",18,1120
"java.util.jar.Attributes",18,288
"java.util.logging.LogManager$LogNode",18,576
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl",18,432
"sun.reflect.generics.repository.MethodRepository",18,720
"sun.reflect.generics.scope.MethodScope",18,432
"sun.reflect.generics.tree.MethodTypeSignature",18,576
"sun.reflect.generics.tree.TypeSignature[ ]",18,328
"java.lang.invoke.DirectMethodHandle$Accessor",17,816
"java.util.jar.Manifest",17,408
"junit.framework.TestSuite",17,408
"padl.kernel.impl.CodeLevelModel",17,680
"padl.kernel.impl.GenericContainerOfTopLevelEntities",17,544
"padl.kernel.impl.GenericContainerOfTopLevelEntities$ModelListener",17,272
"com.ibm.toad.cfparse.attributes.StackMapTableAttrInfo",16,512
"java.lang.ProcessEnvironment$Value",16,384
"java.lang.invoke.BoundMethodHandle$Species_LLLL",16,768
"java.lang.invoke.MemberName[ ]",16,2304
"java.lang.invoke.VarForm",16,512
"java.lang.invoke.VarHandleReferences$FieldInstanceReadWrite",16,768
"java.lang.management.MemoryUsage",16,768
"java.util.regex.Pattern$BmpCharProperty",16,384
"javax.management.openmbean.OpenMBeanParameterInfoSupport",16,896
"org.apache.bcel.classfile.ConstantFieldref",16,384
"com.jprofiler.agent.probe.a$1",15,240
